Customer Name,Address Line1,Address Line2,Address Line3,Address Line4,Postcode,Telephone,Mobile,Email,Web,VAT No,Company No,Contact Salutation,Contact First Name,Contact Last Name,Contact Position,Contact Email,Contact Phone,Contact Mobile,Industry
4C Associates,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8741 4441,020 8741 4981,,www.4cassociates.com,,,,,,,,,,,
5i,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0118 988 5558,0118 988 5559,,,,,,,,,,,,,
A M M  Publishing Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 836 9920,,,,,,Mr,dfsdf,sdfsdf,,,,,Import,
A Manning UK Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01491 578 759,,,,,,,,,,,,,Import,
A R T E M,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
A&K Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01702 313 241,,,,,,,,,,,,,,
"A.F.L. Deeson Partnership Ltd., The",Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
A.G. Parfett Sons Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
A1 Foster Glass & Glazing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7252 3885,,,,,,,,,,,,,,
AbaXX Technology Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,Import,
ABB,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01925 741 027,,,,,,,,,,,,,,
Abbey for Intermediaries,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Abbeyfield Bradford Society Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01274 496 277,,,,,,,,,,,,,,
Abbott Laboratories Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,http://www.abbott.com,,,,,,,,,,,
Abbott Laboratories Ltd2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01795 580 099,,,,,,,,,,,,,,
Abbott Mead Vickers BBDO,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 616 3500,,amvbbdo@amvbbdo.com,www.amvbbdo.co.uk,,,,,,,,,,,
ABCmail,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,www.abcmail.co.uk,,,,,,,,,,,
Aberdeen Exhibition and Conference Centre,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,01224 825 276,,,,,,,,,,,,,
ABF,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0) 207 399 6500,(0) 207 399 6580,,,,,,,,,,,,,
Ability UK,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 723 5676,,,,,,,,,,,,,,
ABN AMRO Asset Management,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP, 0207 678 4500,,,www.abnamro.com,,,,,,,,,,,
ABN Amro Holland,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,00 31 206 299 221,,,www.abnamro.com,,,,,,,,,,,
ABS Europe Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7247 3255,020 7377 2453,abs-eur@eagle.org,www.eagle.org,,,,,,,,,,,
Absolute Publishing Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7253 9909,020 7253 9907,,www.absolutepublishing.com,,,,,,,,,,,
Academy Health & Fitness,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 729 5789,,,,,,,,,,,,,,
"Acas - Advisory, Conciliation & Arbitration Service",Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7210 3613,020 7210 3702,,,,,,,,,,,,,
Access Self Storage,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8674 0300,,,,,,,,,,,,,,
Accite,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01423 564 719,,,www,,,,,,,,,,,
Accor (UK) Ltd.,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8237 7474,020 8237 7410,,www.accorhotels.com,,,,,,,,,,,
Accountability,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7549 0400,,,,,,,,,,,,,,
Ace Centre,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01865 759800,,,,,,,,,,,,,,
ACE European Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7173 7000,020 7655 2120,info@acelimited.com,www.acelimited.com,,,,,,,,,,,
Aceville Publications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01206 505 901,01206 505 905,,,,,,,,,,,,,
Aceville Publications2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01206 505 900,01206 505 905,,,,,,,,,,,,,
ACIS,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7590 7474,,,,,,,,,,,,,,
Acme Graphics,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8395 5130,,,,,,,,,,,,,,
ACT Insurance Systems,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
ACT Insurance Systems2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01524 844 484,,,,,,,,,,,,,,
Actif Group Plc,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7436 3330,020 7436 3303,,www.actifgroup.com,,,,,,,,,,,
Action For Blind People,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7635 4800,020 7635 4900,,www.afbp.org,,,,,,,,,,,
ActionAid,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7561 7561,020 7281 4195,mail@actionaid.org.uk,www.actionaid.org.uk,,,,,,,,,,,
Active - Bringing Data To Life,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Active Hotels,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01223 717818,,,www.activehotels.com,,,,,,,,,,,
Active Life & Mature Times,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7 253 5775,,,,,,,,,,,,,,
Active Solutions Europe,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01256 356629,01256 356708,,www.activesol.co.uk,,,,,,,,,,,
Activity Information Management,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01252 846950,01252 849630,,www.activityim.com,,,,,,,,,,,
Activity Superstore,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01799 526 526,,,,,,,,,,,,,,
Acumin Recruitment Consultants Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 791 3377,0207 702 7240,,,,,,,,,,,,,
AD Communications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01372 464 470,,,www.adcommunications.co.uk/,,,,,,,,,,,
Adare Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01484 860845,01484 867292,,www.adare.com,,,,,,,,,,,
ADC,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
ADC KRONE,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01242) 26 44 00,,01242) 26 44 88,www.adckrone.com,,,,,,,,,,,
ADC Metrica,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8332 7400,020 8332 7403,,,,,,,,,,,,,
Adconnection Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8545 2150,020 8542 4164,,www.adconnection.co.uk,,,,,,,,,,,
Addison Corporate Marketing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 403 7444,0207 403 1243 / 0207 234 0206,,http://www.addison.co.uk,,,,,,,,,,,
Addison Lee,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Addleshaw Booth Solicitors,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0161 934 6000,,,,,,,,,,,,,,
Adodo Communications Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0115-970-1471,0115-970-1671,,http://www.adodo.co.uk,,,,,,,,,,,
Advance Environmental Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,024 7654 5555,024 7654 1147,,www.advance-environmental.com,,,,,,,,,,,
Advanced Computer Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7496 8600,020 7496 8601,,,,,,,,,,,,,
Advanstar,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01244 378 888,,,www.advanstar.com,,,,,,,,,,,
Advantage Business Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01252 823700,,,,,,,,,,,,,,
Advantage Business Systems Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7663 1234,,,www.theadvantagegroup.co.uk,,,,Fiona,Gray,Director,info@advantage.co.uk,020 7663 1234,,,
Advertising Standards Authority Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7492 2222,,,,,,,,,,,,,,
Advocacy Partners,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0208 330 6644,,,,,,,,,,,,,,
AEA Consulting,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7377 6559,,,,,,,,,,,,,,
AEA Technology,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 190 1900,,,,,,,,,,,,,,
Aearo Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01625 878320,,,,,,,,,,,,,,
Aegis Plc,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 430 6014,,,,,,,,,,,,,,
AES Seal,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01709 369 966,01709 720788,,,,,,,,,,,,,
AFL Deeson Partnership,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01795 535 468,,,,,,,,,,,,,,
Africa Online,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(254-2)710333,,,www.africaonline.com,,,,,,,,,,,
Agency.com,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,020 7573 4450,,,,,,,,,,,,,
Agency.com,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7964 820,,,www.agency.com,,,,,,,,,,,
Agenda Media,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0121 244 5560,,,,,,,,,,,,,,
Agilent Technologies,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+49 7031 464 4667,,,www.agilent.com,,,,,,,,,,,
Agilisys,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01904 713 800,,,agilisys.co.uk,,,,,,,,,,,
Agilisys Contact Services Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP, 0845 450 1131,0845 450 1132,sales@contact-partners.com,www.agilisyscontactservices.com,,,,,,,,,,,
Agra Europe,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Aifos PLC,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,02079251661,,,www.aifos.com,,,,,,,,,,,
AIM Publications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,7440 3900,,,,,,,,,,,,,,
AINSLEY MORGAN APPOINTMENTS LTD,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Ainsworth & Parkinson,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01772 770770 ,,,,,,,,,,,,,,
Aiphabet Communications Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Air Business,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01727 890 600,,,,,,,Donna,Fernandez,Director,Donna.Fernandez@airbusonline.com,,,Import,
Aircom International,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Aircom International,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01737 775 700,,,,,,,,,,,,,,
Airlan Data Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 444 6208,,,www.airlandata.com,,,,,,,,,,,
Airports International / Plastics & Rubber Asia,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01444 417 360 (dir),,,,,,,,,,,,,,
Airstream Communications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01444 440 188,,,,,,,,,,,,,,
Airsys Communications Technology Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,023 8071 8713,,@airsys.co.uk,www.airsys.co.uk & www.airsys-online.co.uk,,,,,,,,,,,
AK Marketing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7684 6543,,,,,,,,,,,,,,
Al-Hamed Enterprises,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Al-Rehab Construction and machinery company,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Alain Charles Publishing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7834 7676,,,,,,,Jane,Withey,Director,jane.withey@alaincharles.com,,,,
Alan Dick UK Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01925 535200,01925 535300,,,,,,,,,,,,,
Albany Health & Fitness Club,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Alcatel Telecom Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7537 9000,,,,,,,,,,,,,,
ALD Automotive,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0117 908 6539,,,,,,,,,,,,,,
ALD Automotive (2),Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,www.aldautomotive.com,,,,,,,,,,,
Alden Translations,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01865 253239,01865 202701,alden.translations@alden.co.uk,,,,,,,,,,,,
Alexander Mann,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7832 2600,,,,,,,John,Harris,Director,John.Harris@alexmann.com,020 7832 0113 (dir.),,,
Alexander Mann2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,Learning &,Development Manager,Director,,,,,
Alfa Media,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 787 7412,0870 787 7413,info@alfamedia.co.uk,,,,,,,,,,,,
Alfred Murray Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Alice Soundtech,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,Daniel,Sumner,Director,,01342 833500,,,
Alice Whenham Consultants,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
All For Success,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Allders of Croydon,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0208 256 7700,,,,,,,Gerry,Silk,Director,,,,,
Allen & Overy,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7330 3000,,inka.bradley@allenovery.com,www.allenovery.com,,,,,,,,,,,
Allford Hall Monaghan Morris,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Alliance Trusts,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01382 201 700,,,,,,,Alison,Hogg,Director,alison.hogg@alliancetrust.co.uk,,,,
Allied Commercial Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7225 0066,,,www.alliedcommercial.com,,,,,,,,,,,
Alliotts3,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Alphabet Communications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01565 755 678,,,,,,,,,,,,,,
Alstom Transport Information Solutions,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8953 9922,,,,,,,,,,,,,,
Alstom Transport Information Solutions 2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Altered Images Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8568 4466,020 8568 4456,,www.alteredimagesltd.com,,,,David,Johnson,Director,david_johnson@alteredimagesltd.com,,,,
Alternative Futures,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Amadeus,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(33) 04.97.23.08.55,,,,,,,,,,,,,,
Amazon Fitness For Women,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 241 1449,,,,,,,,,,,,,,
Ambition Fitness Personal Training,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 630 5930,,,,,,,,,,,,,,
AMD Brass Tacks Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7368 9600,,,,,,,,,,,,,,
AMEC Group LTD,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,(0)1925 281 800,(0)1925 281 999,,,,,,,,,,,,,
American Express Services Europe Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01273 693555,,,,,,,,,,,,,,
Amey,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,02392 603 969,,,,,,,,,,,,,,
Amey Plc,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01252 533605,,,,,,,,,,,,,,
AMM Publishing,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8991 5591,,,,,,,,,,,,,,
AMM UK,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,www.ammuk.com,,,,,,,,,,,
Ammirati Puris Lintas,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 534 5000,,,,,,,,,,,,,,
Amnesty International,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
AMR International,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7534 3622,,,,,,,,,,,,,,
Analytical Graphics Inc.,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,+34 91 761 6116,,www.stk.com,,,,,,,,,,,
Ancer Spa (Midlands) Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Angel Business Communications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01923 690200,020 7417 7500,,http://www.angelbc.co.uk,,,,,,,,,,,
Anglo Gold,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,+27 18 478 9111,,,www.anglogold.com,,,,,,,,,,,
Antalis Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01256 724 724,,,,,,,,,,,,,,
Antiqes Trade Gazette / DMG,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,7420 6600,,,,,,,,,,,,,,
Antiques Trade Gazette,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7420 6650,,,,,,,,,,,,,,
Antony James and Associates,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
ANZ Investment Bank,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7378 2828,,,,,,,,,,,,,,
AOL,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
AOL UK Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7348 8000,,,,,,,,,,,,,,
Aon,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7623 5500,020 7882 0390,,,,,,,,,,,,,
Aon Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7623 5500,,,,,,,,,,,,,,
Aon Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0208 612 5400,,,,,,,,,,,,,,
Aon Warranty Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8864 5400,,,,,,,,,,,,,,
AP Information Services,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8349 9988,020 8349 9797,,http://www.ap-info.co.uk,,,,,,,,,,,
APR Video Tapes,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,07000 10 20 30,,,,,,,,,,,,,,
APT Data Group,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
APX (UK) Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7841 5600,(0)20 7299 8441,,,,,,,,,,,,,
Aqualisa Products Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01959 560000,,,www.aqualisa.co.uk,,,,,,,,,,,
Aquaplus nv,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,+32 (0)3 450 4481,,,,,,,,,,,,,
Aquilla Health & Fitness Club,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0171 225 0225,,,,,,,,,,,,,,
Aquinas HR Services,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0800 3166613,,,http://www.aquinas.co.uk,,,,,,,,,,,
Arab British Centre for Human Resources,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Arabian Gulf Oil Company,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Arbinet Thexchange,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,020 7373 1854,,,,,,,,,,,,,
Archant Dialogue,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01603 664 242,,,www.archantdialogue.co.uk,,,,,,,,,,,
Archer McGrath,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Archer McGrath,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7581 1661,020 7584 0567,,,,,,,,,,,,,
Ardent UK,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8981 9077,,,,,,,,,,,,,,
Argent Group Europe,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0121 733 2417,0121 733 2417,,,,,,,,,,,,,
Argyll Business Centres,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 661 9510,,,,,,,,,,,,,,
Arion Communications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01895 834 484,,,,,,,,,,,,,,
Ark Architecture & Design,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0141 332 5823,,,,,,,,,,,,,,
Arkadin (UK) Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP, 020 8742 6350,,,www.arkadin.co.uk,,,,,,,,,,,
Armour Home Electronics,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01483 747474,,,www.armourhe.co.uk,,,,,,,,,,,
Arnatt Abrey Bennett,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0207 407 2627,,mail@aabdesign.co.uk,,,,,,,,,,,,
Arq International,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7868 1747,020 7868 1896,,,,,,,,,,,,,
ARTEM,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 8997 7771,,,,,,,,,,,,,,
Arts Coucil England,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0845 300 6200,020 7973 6590,,www.artscouncil.org.uk,,,,,,,,,,,
Arval PHH,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 419 7000,0870 872 7610,,www.arvalphh.co.uk,,,,,,,,,,,
Ascio,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
ASDA CDC1,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01977 888 000,,,,,,,,,,,,,,
Ashdens,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,7407 7604,,,http://www.ashdens.co.uk,,,,,,,,,,,
Ashfield Healthcare,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 8501234,,,,,,,,,,,,,,
Ashurst,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7638 1111,020 7638 1112,,www.ashurst.com,,,,,,,,,,,
Asian Trade Publications,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,020 7928 1234,,,,,,,,,,,,,,
Ask How 2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 24 24 223,,,,,,,,,,,,,,
AskAlix.com,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
Askeval,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0845 6860 488,0845 280 8888,,www.AskEval.com,,,,,,,,,,,
Aspects Software Ltd,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0131 2259500,,,,,,,,,,,,,,
Aspen Media,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,01296 681313, 01296 681316,,www.aspen-media.com,,,,,,,,,,,
ASPIRE TO BE.....,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,01332 705804,,,,,,,,,,,,,
Ass. of Chartered Certified Accountants,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0141 309 4074,,,,,,,,,,,,,,
AssertaHome,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
AssertaHome 2,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,0870 075 8888,,,,,,,,,,,,,,
Asset Interiors Limited,Address line 1,Address line 2,Address line 3,Address line 4,LS21 3JP,,,,,,,,,,,,,,,
